ID	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
200029_at	6.668255598320033	6.6576157727667	6.637120873540754	6.65251179108745	6.678529563003923	6.646600670627661	6.667866621860624	6.700273292505401	6.664387525407619	6.696809330935687	6.6663884738618195	6.653870718958822	6.668827778754646	6.669189734775517	6.659915459982502	6.67650112658359	6.678104800010263	6.677560082114655	6.680632898832396	6.68002607854669	6.665117199070853	6.678514182141028	6.674893839603572	6.668081276079341	6.663687512564467	6.677711083269104
200030_s_at	6.491926296775063	6.520689933401312	6.524496552207524	6.5293858889734935	6.495446422714099	6.450402142403602	6.547790501478398	6.477855162795656	6.518089905855556	6.469409866911237	6.573937610036914	6.489972506264567	6.554299788776345	6.541568822068897	6.5389129216422015	6.476226711280688	6.44657520516889	6.471591202794241	6.481710143420924	6.477662460571504	6.464379323127831	6.456039665179841	6.481196043936504	6.479688745316623	6.494533025434382	6.475106694522032
200031_s_at	6.6741597576323315	6.714453648180151	6.706716465794769	6.671764288350376	6.6891885477368085	6.696046987131017	6.711083158859703	6.736198319520786	6.722893563490271	6.717179563109659	6.691828741327821	6.710981244461074	6.675111877691905	6.7157626532587695	6.6752604579819215	6.7308056085284695	6.737671947833642	6.725923445924614	6.751444786757007	6.753616848283038	6.738745878138643	6.739944860222832	6.746640932807663	6.7420982889000625	6.723542938475989	6.7507899651716885
200032_s_at	6.715570590807712	6.708155052030462	6.698468777522052	6.692333383621319	6.709654982382489	6.670945659729453	6.703635979807337	6.706275972442798	6.718626139374457	6.715275431044113	6.701740304699589	6.712825434938892	6.695926051030693	6.713583524422242	6.689233827231998	6.71118819701387	6.719601088739467	6.702277720521941	6.72372085547688	6.7315027073336084	6.728861457191534	6.729242032720414	6.716791078085307	6.712236557920138	6.716210322350032	6.730553356835412
200033_at	6.416308898912384	6.456829122295375	6.484075368940201	6.4579000483416396	6.516656662924212	6.460866162612391	6.4772333359674175	6.4929216261259235	6.469602881027035	6.542212259427464	6.461306156769248	6.490202270845563	6.445738196883081	6.447497381707855	6.434495787259969	6.455961675888711	6.410213393959426	6.4809719276407005	6.559864808196294	6.558557298943936	6.480403620946779	6.512164282590531	6.506700858066419	6.460144153232077	6.557345770363734	6.559003423893115
200034_s_at	6.598546097147841	6.622694185351662	6.638713539287713	6.607201976216812	6.629679665609204	6.58955135708569	6.63092763041701	6.6408231404850095	6.629762670455699	6.655871614075846	6.6267666273564245	6.610096500540351	6.619251316271653	6.619857731237835	6.623583982964064	6.62080079192917	6.58447262284366	6.598196996081288	6.651978032691449	6.641568279050238	6.622985194825644	6.6243961263610975	6.620766565673069	6.603407820548203	6.634174185798955	6.643171563437251
200035_at	6.141156854032409	6.128996634937903	6.126201336387791	6.171782724633794	6.145775223793743	6.074054238604795	6.112491695035132	6.193443043108001	6.04321029085641	6.176375743040481	6.14620020784756	6.104304242670254	6.1560968679838295	6.082430325271842	6.108088950017246	6.091829421505093	6.111680671668981	6.172371680811018	6.0208676622563155	6.133449424878886	6.053046426625152	6.054234238209023	6.040681206774266	6.042405906672645	6.037612009387157	6.14572693828082
200036_s_at	6.6570436706246605	6.662272249636739	6.6312630234527274	6.635491478152153	6.657160416835867	6.621948076730852	6.659447712364715	6.673284919510297	6.6687850787104495	6.673723778702283	6.641686668625626	6.609030724344193	6.649979135722655	6.669083863155449	6.6377915509335566	6.664376292857454	6.652733559307453	6.657793379503427	6.670268282843411	6.669910886000243	6.670583608161316	6.658871696685421	6.671655937303254	6.661455412393183	6.635101699100205	6.671629566951053
200037_s_at	6.319258431790573	6.307065746791815	6.3548478087241005	6.343914295088872	6.282093167121397	6.183516412791797	6.34755930268866	6.237899758663351	6.309664682247566	6.354164464812611	6.340245417487304	6.326867888248046	6.32759759920681	6.317735868524895	6.360804476254397	6.257599561872322	6.284693131478014	6.263622766369948	6.321812770327493	6.3303185838003095	6.344284996469587	6.3311017804985985	6.365501635129849	6.312277106972271	6.3463090304648215	6.325098406202704
200038_s_at	6.590110652526725	6.587239621852427	6.602115760414662	6.587821386136241	6.617820316563357	6.552498909248813	6.580009529264859	6.611273415992289	6.616949007475007	6.610187958457511	6.598687865348655	6.563663652265656	6.553624032736996	6.6088518117216415	6.555472957902159	6.613708074477918	6.61043650245259	6.5740892645288564	6.613686738010019	6.6304307795482575	6.624428380437951	6.624303907825409	6.606326622503017	6.58086415213341	6.609735266671518	6.6241595300868665
